As of date,As of time,Quarantine centres,Address,Capacity (unit),Current unit in use,Current person in use,Ready to be used (unit)
11/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1578,714,1036,447
11/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,61,84,27
11/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,375,482,243
12/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,112,178,48
12/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1578,652,957,560
12/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,65,89,24
12/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,398,506,182
13/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,115,191,42
13/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1578,605,898,573
13/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,67,99,16
13/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,380,492,202
14/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,118,193,28
14/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1578,631,917,661
14/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,82,113,1
14/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,365,473,191
15/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,106,171,44
15/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1578,557,822,687
15/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,78,106,10
15/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,373,477,146
16/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,111,168,25
16/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1578,479,704,714
16/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,68,94,15
16/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,362,469,160
17/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,108,164,18
17/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1578,453,662,814
17/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,72,97,15
17/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,445,556,95
18/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,103,147,32
18/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1578,435,634,782
18/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,68,91,22
18/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,442,561,136
19/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,90,133,48
19/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1703,393,564,794
19/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,67,90,25
19/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,446,561,89
20/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,77,117,77
20/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1704,372,524,853
20/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,62,82,27
20/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,432,543,141
21/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,78,122,71
21/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1704,342,485,947
21/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,53,67,30
21/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,405,515,154
22/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,67,113,101
22/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1726,278,406,922
22/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,47,59,41
22/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,378,477,171
23/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,64,112,94
23/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1731,242,357,953
23/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,44,57,43
23/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,360,456,182
24/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,59,93,89
24/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1731,215,309,948
24/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,30,38,50
24/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,351,441,234
25/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,55,88,85
25/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1731,186,270,1044
25/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,28,38,49
25/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,330,411,227
26/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,57,90,106
26/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1712,178,252,1138
26/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,36,47,48
26/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,331,413,193
27/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,56,87,114
27/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1712,163,223,1255
27/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,43,56,44
27/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,326,398,285
28/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,62,88,108
28/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1712,152,204,1327
28/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,46,59,43
28/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,321,382,277
29/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,58,81,121
29/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1707,151,201,1312
29/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,45,55,39
29/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,304,355,288
30/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,57,79,115
30/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1707,149,188,1362
30/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,46,57,40
30/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,297,339,308
31/08/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,55,74,109
31/08/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1707,131,165,1357
31/08/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,50,61,39
31/08/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,222,254,337
01/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,58,77,96
01/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1707,122,151,1352
01/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,59,72,27
01/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,226,251,360
02/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,55,72,92
02/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1697,102,125,1352
02/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,57,65,26
02/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,216,238,389
03/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,61,82,117
03/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1697,86,108,1368
03/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,60,69,25
03/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,198,217,418
04/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,58,76,108
04/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,80,100,1395
04/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,65,75,22
04/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,177,191,484
05/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,53,72,104
05/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,75,93,1398
05/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,72,84,19
05/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,197,212,487
06/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,60,83,94
06/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,69,90,1396
06/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,75,88,15
06/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,217,232,459
07/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,52,77,105
07/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,77,97,1385
07/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,71,83,16
07/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,228,249,452
08/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,53,76,130
08/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,72,90,1395
08/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,58,65,25
08/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,221,241,423
09/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,50,76,129
09/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,56,72,1401
09/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,62,68,24
09/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,214,232,429
10/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,47,74,127
10/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,49,65,1408
10/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,58,61,32
10/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,205,223,437
11/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,43,71,124
11/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,41,56,1422
11/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,49,51,37
11/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,192,208,438
12/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,51,77,133
12/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,34,42,1429
12/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,53,57,38
12/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,187,203,485
13/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,53,82,126
13/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1696,31,39,1436
13/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,49,52,37
13/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,197,226,471
14/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,42,71,126
14/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1533,26,34,1321
14/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,38,42,43
14/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,188,213,490
15/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,49,81,114
15/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1533,26,34,1436
15/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,38,41,53
15/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,186,213,498
16/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,48,80,112
16/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1533,23,30,1448
16/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,38,40,54
16/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,183,211,508
17/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,57,90,108
17/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1533,21,28,1448
17/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,37,39,52
17/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,195,222,493
18/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,52,83,116
18/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1533,19,26,1453
18/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,35,37,52
18/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,214,241,471
20/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,56,85,108
20/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1533,5,7,1463
20/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,26,30,60
20/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,145,176,445
21/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,57,87,104
21/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1533,3,3,1468
21/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,60,65,30
21/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,120,145,515
22/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,51,78,104
22/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1533,1,1,1472
22/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,54,59,32
22/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,114,139,547
23/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,53,80,117
23/09/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1533,1,1,1472
23/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,52,57,36
23/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,113,137,555
24/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,56,84,121
24/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,50,55,43
24/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,118,142,561
25/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,51,78,111
25/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,46,50,41
25/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,108,132,569
28/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,34,54,110
28/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,42,46,48
28/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,85,98,577
29/09/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",198,34,53,127
29/09/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,41,45,48
29/09/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",800,83,95,600
