FID,Field_1,GbProv,ProvCH,ProvEN,N_D_0302,N_D_0303,N_D_0304,N_D_0305,N_D_0306,N_D_0307,N_D_0308,N_D_0309,N_D_0310,N_D_0311,N_D_0312,N_D_0313,N_D_0314,N_D_0315,N_D_0316,N_D_0317,N_D_0318,N_D_0319,N_D_0320,N_D_0321,N_D_0322,N_D_0323,N_D_0324,N_D_0325,N_D_0326,N_D_0327,N_D_0328,N_D_0329,N_D_0330,N_D_0331,N_D_0401,N_D_0402,N_D_0403,N_D_0404,N_D_0405,N_D_0406,N_D_0407,N_D_0408,N_D_0409,N_D_0410,N_D_0411,N_D_0412,N_D_0413,N_D_0414,N_D_0415,N_D_0416,N_D_0417,N_D_0418,N_D_0419,N_D_0420,N_D_0421,N_D_0422,N_D_0423,N_D_0424,N_D_0425,N_D_0426,N_D_0427,N_D_0428,N_D_0429,N_D_0430,N_D_0501,N_D_0502,N_D_0503,N_D_0504,N_D_0505,N_D_0506,N_D_0507,N_D_0508,N_D_0509,N_D_0510,N_D_0511,N_D_0512,N_D_0513,N_D_0514,N_D_0515,N_D_0516,N_D_0517,N_D_0518,N_D_0519,N_D_0520,N_D_0521,N_D_0522,N_D_0523,N_D_0524,N_D_0525,N_D_0526,N_D_0527,N_D_0528,N_D_0529,N_D_0530,N_D_0531,N_D_0601,N_D_0602,N_D_0603,N_D_0604,N_D_0605,N_D_0606,N_D_0607,N_D_0608,N_D_0609,N_D_0610,N_D_0611,N_D_0612,N_D_0613,N_D_0614,N_D_0615,N_D_0616,N_D_0617,N_D_0618,N_D_0619,N_D_0620,N_D_0621,N_D_0622,N_D_0623,N_D_0624,N_D_0625,N_D_0626,N_D_0627,N_D_0628,N_D_0629,N_D_0630,N_D_0701,N_D_0702,N_D_0703,N_D_0704,N_D_0705,N_D_0706,N_D_0707,N_D_0708,N_D_0709,N_D_0710,N_D_0711,N_D_0712,N_D_0713,N_D_0714,N_D_0715,N_D_0716,N_D_0717,N_D_0718,N_D_0719,N_D_0720,N_D_0721,N_D_0722,N_D_0723,N_D_0724,N_D_0725,N_D_0726,N_D_0727,N_D_0728,N_D_0729,N_D_0730,N_D_0731,N_D_0801,N_D_0802,N_D_0803,N_D_0804,N_D_0805,N_D_0806,N_D_0807,N_D_0808,N_D_0809,N_D_0810,N_D_0811,N_D_0812,N_D_0813,N_D_0814,N_D_0815,N_D_0816,N_D_0817,N_D_0818,N_D_0819,N_D_0820,N_D_0821,N_D_0822,N_D_0823,N_D_0824,N_D_0825,N_D_0826,N_D_0827,N_D_0828,N_D_0829,N_D_0830,N_D_0831,N_D_0901,N_D_0902,N_D_0903,N_D_0904,N_D_0905,N_D_0906,N_D_0907,N_D_0908,N_D_0909,N_D_0910,N_D_0911,N_D_0912,N_D_0913,N_D_0914,N_D_0915,N_D_0916,N_D_0917,N_D_0918,N_D_0919,N_D_0920,N_D_0921,N_D_0922,N_D_0923,N_D_0924,N_D_0925,N_D_0926,N_D_0927,N_D_0928,N_D_0929,N_D_0930,N_D_1001,N_D_1002,N_D_1003,N_D_1004,N_D_1005,N_D_1006,N_D_1007,N_D_1008,N_D_1009,N_D_1010,T_D_0301,T_D_0302,T_D_0303,T_D_0304,T_D_0305,T_D_0306,T_D_0307,T_D_0308,T_D_0309,T_D_0310,T_D_0311,T_D_0312,T_D_0313,T_D_0314,T_D_0315,T_D_0316,T_D_0317,T_D_0318,T_D_0319,T_D_0320,T_D_0321,T_D_0322,T_D_0323,T_D_0324,T_D_0325,T_D_0326,T_D_0327,T_D_0328,T_D_0329,T_D_0330,T_D_0331,T_D_0401,T_D_0402,T_D_0403,T_D_0404,T_D_0405,T_D_0406,T_D_0407,T_D_0408,T_D_0409,T_D_0410,T_D_0411,T_D_0412,T_D_0413,T_D_0414,T_D_0415,T_D_0416,T_D_0417,T_D_0418,T_D_0419,T_D_0420,T_D_0421,T_D_0422,T_D_0423,T_D_0424,T_D_0425,T_D_0426,T_D_0427,T_D_0428,T_D_0429,T_D_0430,T_D_0501,T_D_0502,T_D_0504,T_D_0505,T_D_0506,T_D_0507,T_D_0508,T_D_0509,T_D_0510,T_D_0511,T_D_0512,T_D_0513,T_D_0514,T_D_0515,T_D_0516,T_D_0517,T_D_0518,T_D_0519,T_D_0520,T_D_0521,T_D_0522,T_D_0523,T_D_0524,T_D_0525,T_D_0526,T_D_0527,T_D_0528,T_D_0529,T_D_0530,T_D_0531,T_D_0601,T_D_0602,T_D_0603,T_D_0604,T_D_0605,T_D_0606,T_D_0607,T_D_0608,T_D_0609,T_D_0610,T_D_0611,T_D_0612,T_D_0613,T_D_0614,T_D_0615,T_D_0616,T_D_0617,T_D_0618,T_D_0619,T_D_0620,T_D_0621,T_D_0622,T_D_0623,T_D_0624,T_D_0625,T_D_0626,T_D_0627,T_D_0628,T_D_0629,T_D_0630,T_D_0701,T_D_0702,T_D_0703,T_D_0704,T_D_0705,T_D_0706,T_D_0707,T_D_0708,T_D_0709,T_D_0710,T_D_0711,T_D_0712,T_D_0713,T_D_0714,T_D_0715,T_D_0716,T_D_0717,T_D_0718,T_D_0719,T_D_0720,T_D_0721,T_D_0722,T_D_0723,T_D_0724,T_D_0725,T_D_0726,T_D_0727,T_D_0728,T_D_0729,T_D_0730,T_D_0731,T_D_0801,T_D_0802,T_D_0803,T_D_0804,T_D_0805,T_D_0806,T_D_0807,T_D_0808,T_D_0809,T_D_0810,T_D_0811,T_D_0812,T_D_0813,T_D_0814,T_D_0815,T_D_0816,T_D_0817,T_D_0818,T_D_0819,T_D_0820,T_D_0821,T_D_0822,T_D_0823,T_D_0824,T_D_0825,T_D_0826,T_D_0827,T_D_0828,T_D_0829,T_D_0830,T_D_0831,T_D_0901,T_D_0902,T_D_0903,T_D_0904,T_D_0905,T_D_0906,T_D_0907,T_D_0908,T_D_0909,T_D_0910,T_D_0911,T_D_0912,T_D_0913,T_D_0914,T_D_0915,T_D_0916,T_D_0917,T_D_0918,T_D_0919,T_D_0920,T_D_0921,T_D_0922,T_D_0923,T_D_0924,T_D_0925,T_D_0926,T_D_0927,T_D_0928,T_D_0929,T_D_0930,T_D_1001,T_D_1002,T_D_1003,T_D_1004,T_D_1005,T_D_1006,T_D_1007,T_D_1008,T_D_1009,T_D_1010
0,2,11,北京市,Beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,12,天津市,Tianjin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,13,河北省,Hebei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,22,14,山西省,Shanxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18,15,内蒙古,Neimenggu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,21,辽宁省,Liaoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14,22,吉林省,Jilin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
