OBJECTID,ID,CNAME,CNAME_S,ENAME,REGION,SHAPE_Length,SHAPE_Area
1,1,黃大仙區,黄大仙区,WONG TAI SIN,KOWLOON,0.156227849,0.000815633
2,6,九龍城區,九龙城区,KOWLOON CITY,KOWLOON,0.273667777,0.000884061
3,7,觀塘區,观塘区,KWUN TONG,KOWLOON,0.220475344,0.000987011
4,8,西貢區,西贡区,SAI KUNG,NEW TERRITORIES,3.154700319,0.011962836
5,11,北區,北区,NORTH,NEW TERRITORIES,1.671696785,0.012070417
6,13,中西區,中西区,CENTRAL & WESTERN,HONG KONG ISLAND,0.231893816,0.001090598
7,14,灣仔區,湾仔区,WAN CHAI,HONG KONG ISLAND,0.168909404,0.000867381
8,15,東區,东区,EASTERN,HONG KONG ISLAND,0.313439325,0.001631095
9,17,屯門區,屯门区,TUEN MUN,NEW TERRITORIES,0.859429786,0.007402183
10,18,元朗區,元朗区,YUEN LONG,NEW TERRITORIES,0.790774105,0.012296646
11,16,南區,南区,SOUTHERN,HONG KONG ISLAND,0.976237907,0.003469477
12,2,離島區,离岛区,ISLANDS,NEW TERRITORIES,3.056691751,0.015630923
13,4,深水埗區,深水埗区,SHAM SHUI PO,KOWLOON,0.246297705,0.000821688
14,5,油尖旺區,油尖旺区,YAU TSIM MONG,KOWLOON,0.201043019,0.000614239
15,3,葵青區,葵青区,KWAI TSING,NEW TERRITORIES,0.487707771,0.00204634
16,12,荃灣區,荃湾区,TSUEN WAN,NEW TERRITORIES,0.830662454,0.005474419
17,9,大埔區,大浦区,TAI PO,NEW TERRITORIES,2.013693311,0.012997588
18,10,沙田區,沙田区,SHA TIN,NEW TERRITORIES,0.491069012,0.006065829